level_0,index,School_Name,Starting_Salary,Mid_Career_Salary,Tuition
0,0,Arizona State University,47400.0,84100.0,27372.0
1,1,Auburn University,45400.0,84700.0,29640.0
2,2,Ball State University,39100.0,64500.0,25938.0
3,3,Binghamton University,53600.0,95900.0,24403.0
4,4,Boise State University,40800.0,69500.0,22642.0
5,5,Bowling Green State University,39800.0,72100.0,18593.0
6,6,Brown University,56200.0,109000.0,53419.0
7,7,California State University,45175.0,81300.0,17694.5
8,8,Carnegie Mellon University,61800.0,111000.0,53910.0
9,9,Clemson University,48400.0,86000.0,35654.0
10,10,Cleveland State University,43500.0,73100.0,13848.0
11,11,Colorado School of Mines,58100.0,106000.0,37436.0
12,12,Colorado State University,44800.0,79000.0,29140.0
13,13,Columbia University,59400.0,107000.0,57208.0
14,14,Cornell University,60300.0,110000.0,52853.0
15,15,Dartmouth College,58000.0,134000.0,52950.0
16,16,East Carolina University,40200.0,67500.0,23420.0
17,17,Eastern Michigan University,40300.0,72100.0,11530.0
18,18,Florida Atlantic University,42600.0,71100.0,21595.0
19,19,Florida International University,43200.0,75500.0,18956.0
20,20,Florida State University,42100.0,73000.0,21673.0
21,21,George Mason University,47800.0,86900.0,34370.0
22,22,Georgia Institute of Technology,58300.0,106000.0,33014.0
23,23,Georgia State University,41800.0,74000.0,29432.0
24,24,Harvard University,63400.0,124000.0,48949.0
25,25,Idaho State University,44900.0,73400.0,21023.0
26,26,Illinois Institute of Technology,56000.0,97800.0,45864.0
27,27,Illinois State University,42000.0,73400.0,25168.0
28,28,Indiana University,46300.0,84000.0,34845.0
29,29,Iowa State University,45400.0,84600.0,22256.0
30,30,Kansas State University,43300.0,79000.0,24775.0
31,31,Kent State University,38700.0,62600.0,18376.0
32,32,Lamar University,46500.0,79400.0,22561.0
33,33,Louisiana State University,46900.0,87800.0,28051.0
34,34,Massachusetts Institute of Technology,72200.0,126000.0,49892.0
35,35,Michigan State University,46300.0,85300.0,39405.0
36,36,Mississippi State University,44500.0,79300.0,22358.0
37,37,Montana State University,42250.0,64050.0,23042.0
