,1,2,3,4,5
0,Princeton University,47140,#1,Princeton,NJ
1,Harvard University,48949,#2,Cambridge,MA
2,University of Chicago,54825,#3,Chicago,IL
3,Yale University,51400,#3,New Haven,CT
4,Columbia University,57208,#5,New York,NY
5,Massachusetts Institute of Technology,49892,#5,Cambridge,MA
6,Stanford University,49617,#5,Stanford,CA
7,University of Pennsylvania,53534,#8,Philadelphia,PA
8,Duke University,53744,#9,Durham,NC
9,California Institute of Technology,49908,#10,Pasadena,CA
10,Dartmouth College,52950,#11,Hanover,NH
11,Johns Hopkins University,52170,#11,Baltimore,MD
12,Northwestern University,52678,#11,Evanston,IL
13,Brown University,53419,#14,Providence,RI
14,Cornell University,52853,#14,Ithaca,NY
15,Rice University,45608,#14,Houston,TX
16,Vanderbilt University,47664,#14,Nashville,TN
17,University of Notre Dame,51505,#18,Notre Dame,IN
18,Washington University in St. Louis,51533,#18,St. Louis,MO
19,Georgetown University,52300,#20,Washington,DC
20,Emory University,49392,#21,Atlanta,GA
21,University of California--Berkeley,42112,#21,Berkeley,CA
22,University of California--Los Angeles,41270,#21,Los Angeles,CA
23,University of Southern California,54259,#21,Los Angeles,CA
24,Carnegie Mellon University,53910,#25,Pittsburgh,PA
25,University of Virginia,46975,#25,Charlottesville,VA
26,Wake Forest University,51400,#27,Winston-Salem,NC
27,University of Michigan--Ann Arbor,47476,#28,Ann Arbor,MI
28,Tufts University,54318,#29,Medford,MA
29,New York University,50464,#30,New York,NY
30,University of North Carolina--Chapel Hill,34588,#30,Chapel Hill,NC
31,Boston College,53346,#32,Chestnut Hill,MA
32,College of William and Mary,43099,#32,Williamsburg,VA
33,Brandeis University,53582,#34,Waltham,MA
34,Georgia Institute of Technology,33014,#34,Atlanta,GA
35,University of Rochester,52020,#34,Rochester,NY
36,Boston University,52082,#37,Boston,MA
37,Case Western Reserve University,47500,#37,Cleveland,OH
38,University of California--Santa Barbara,42423,#37,Santa Barbara,CA
39,Northeastern University,49497,#40,Boston,MA
40,Tulane University,52960,#40,New Orleans,LA
41,Rensselaer Polytechnic Institute,52305,#42,Troy,NY
42,University of California--Irvine,43530,#42,Irvine,CA
43,University of California--San Diego,44197,#42,La Jolla,CA
44,University of Florida,28658,#42,Gainesville,FL
45,Lehigh University,50740,#46,Bethlehem,PA
46,Pepperdine University,51992,#46,Malibu,CA
47,University of California--Davis,42396,#46,Davis,CA
48,University of Miami,48484,#46,Coral Gables,FL
49,University of Wisconsin--Madison,34782,#46,Madison,WI
50,Villanova University,51434,#46,Villanova,PA
51,Pennsylvania State University--University Park,33664,#52,University Park,PA
52,University of Illinois--Urbana-Champaign,31988,#52,Champaign,IL
53,Ohio State University--Columbus,29659,#54,Columbus,OH
54,University of Georgia,30392,#54,Athens,GA
55,George Washington University,53518,#56,Washington,DC
56,Purdue University--West Lafayette,28804,#56,West Lafayette,IN
57,University of Connecticut,36948,#56,Storrs,CT
58,University of Texas--Austin,35766,#56,Austin,TX
59,University of Washington,35538,#56,Seattle,WA
60,Brigham Young University--Provo,5460,#61,Provo,UT
61,Fordham University,50601,#61,New York,NY
62,Southern Methodist University,52498,#61,Dallas,TX
63,Syracuse University,46755,#61,Syracuse,NY
64,University of Maryland--College Park,33606,#61,College Park,MD
65,Worcester Polytechnic Institute,48628,#61,Worcester,MA
66,Clemson University,35654,#67,Clemson,SC
